NegotiationID;Day;Month;Year;Hours;Minutes;SenderID;SenderBestCase;SenderWorstCase;ReceiverID ;ReceiverBestCase 1;ReceiverWorstCase 1;JointUtility (Best);JointUtility (Worst);ContractImbalance (Best);ContractImbalance (Worst);Value 1= - ;Value 1=h;Value 1=g;Value 1=i;Value 1=j;Utility_Issue1;Value 2= - ;Value 2=z;Value 2=y;Value 2=x;Utility_Issue2;Value 3= - ;Value 3=n;Value 3=m;Value 3=l;Value 3=k;Utility_Issue3;Value 4= - ;Value 4=r;Value 4=s;Value 4=q;Value 4=p;Value 4=t;Utility_Issue4;Value 5= - ;Value 5=b;Value 5=a;Value 5=c;Utility_Issue5;MessageType
371;8;12;2017;9;13;373;0.4744;0.4744;374;0.6244;0.6244;1.0988;1.0988;0.15;0.15;0;0;1;0;0;0.28;0;0;1;0;0;0;0;0;0;1;0.18;0;0;1;0;0;0;0.0144;0;0;1;0;0;5
397;4;12;2017;9;20;399;1;1;400;0.1084;0.1084;1.1084;1.1084;0.8916;0.8916;0;0;1;0;0;0.28;0;0;0;1;0.2;0;0;0;0;1;0.18;0;0;0;1;0;0;0.16;0;1;0;0;0.18;0
397;4;12;2017;13;7;400;1;1;399;0.1254;0.1254;1.1254;1.1254;0.8746;0.8746;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
397;4;12;2017;14;44;399;0.8182;0.8182;400;0.104;0.104;0.9222;0.9222;0.7142;0.7142;0;0;1;0;0;0.28;0;1;0;0;0.128;0;1;0;0;0;0.0702;0;0;0;1;0;0;0.16;0;1;0;0;0.18;1
397;5;12;2017;13;8;400;1;1;399;0.1254;0.1254;1.1254;1.1254;0.8746;0.8746;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
397;5;12;2017;20;50;399;0.7682;0.7682;400;0.2848;0.2848;1.053;1.053;0.4834;0.4834;0;0;1;0;0;0.28;0;1;0;0;0.128;0;0;0;1;0;0.0522;0;1;0;0;0;0;0.128;0;1;0;0;0.18;1
397;6;12;2017;19;4;400;0.6238;0.6238;399;0.4028;0.4028;1.0266;1.0266;0.221;0.221;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;0;1;0.0304;0;1;0;0;0;0;0.0448;0;0;0;1;0.0486;1
397;6;12;2017;19;46;399;0.752;0.752;400;0.2038;0.2038;0.9558;0.9558;0.5482;0.5482;0;0;1;0;0;0.28;0;1;0;0;0.128;0;0;0;0;1;0.18;0;1;0;0;0;0;0.128;0;0;0;1;0.036;1
397;7;12;2017;18;0;400;0.6238;0.6238;399;0.4028;0.4028;1.0266;1.0266;0.221;0.221;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;0;1;0.0304;0;1;0;0;0;0;0.0448;0;0;0;1;0.0486;1
397;7;12;2017;19;27;399;0.624;0.624;400;0.3778;0.3778;1.0018;1.0018;0.2462;0.2462;0;0;1;0;0;0.28;0;0;1;0;0;0;0;0;0;1;0.18;0;1;0;0;0;0;0.128;0;0;0;1;0.036;1
397;7;12;2017;20;49;400;0.3778;0.3778;399;0.624;0.624;1.0018;1.0018;0.2462;0.2462;0;0;1;0;0;0.054;0;0;1;0;0.2;0;0;0;0;1;0.0304;0;1;0;0;0;0;0.0448;0;0;0;1;0.0486;5
423;4;12;2017;15;29;425;0.8902;0.8902;426;0.078;0.078;0.9682;0.9682;0.8122;0.8122;0;0;1;0;0;0.28;0;0;0;1;0.2;0;1;0;0;0;0.0702;0;0;0;1;0;0;0.16;0;1;0;0;0.18;0
423;4;12;2017;16;49;426;0.8902;0.8902;425;0.078;0.078;0.9682;0.9682;0.8122;0.8122;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
