NegotiationID;SenderID;SenderBestCase;SenderWorstCase;ReceiverIDs;ReceiversBestCase;ReceiversWorstCase;Day;Month;Year;Hours;Minutes;Joint Utility (Best);Joint Utility (Worst;Contract Imbalance (Best;Contract Imbalance (Worst;Value 5=null;Value 5=a;Value 5=b;Value 5=c;Utility_Issue5;Value 4=q;Value 4=s;Value 4=r;Value 4=p;Value 4=null;Value 4=t;Utility_Issue4;Value 2=x;Value 2=y;Value 2=z;Value 2=null;Utility_Issue2;Value 3=k;Value 3=l;Value 3=null;Value 3=n;Value 3=m;Utility_Issue3;Value 1=null;Value 1=h;Value 1=g;Value 1=i;Value 1=j;Utility_Issue1;MessageType
160;321;1;1;322;0.11;0.11;5;12;2016;9;44;1.11;1.11;0.89;0.89;0;0;1;0;0.18;1;0;0;0;0;0;0.16;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;0
160;322;1;1;321;0.13;0.13;6;12;2016;15;24;1.13;1.13;0.87;0.87;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
160;321;0.59;0.59;322;0.37;0.37;6;12;2016;19;41;0.96;0.96;0.22;0.22;0;0;0;1;0.036;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
160;322;0.87;0.87;321;0.16;0.16;8;12;2016;5;30;1.03;1.03;0.71;0.71;0;0;0;1;0.0486;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
160;321;0.59;0.59;322;0.37;0.37;9;12;2016;8;19;0.96;0.96;0.22;0.22;0;0;0;1;0.036;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
160;322;0.79;0.79;321;0.24;0.24;10;12;2016;0;42;1.03;1.03;0.55;0.55;0;0;0;1;0.0486;0;0;0;1;0;0;0.08;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
160;321;0.55;0.55;322;0.5;0.5;10;12;2016;8;40;1.05;1.05;0.05;0.05;0;1;0;0;0;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
160;322;0.5;0.5;321;0.55;0.55;10;12;2016;10;56;1.05;1.05;-0.05;-0.05;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;0;1;0;0.026;0;1;0;0;0;0.16;0;0;1;0;0;0.054;5
161;323;0.93;0.93;324;0.16;0.16;6;12;2016;2;2;1.09;1.09;0.77;0.77;0;0;1;0;0.18;0;0;0;1;0;0;0.0896;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;0
161;324;1;1;323;0.13;0.13;6;12;2016;14;11;1.13;1.13;0.87;0.87;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
161;323;0.85;0.85;324;0.24;0.24;8;12;2016;20;29;1.09;1.09;0.61;0.61;0;0;1;0;0.18;0;1;0;0;0;0;0.0144;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;0
161;324;1;1;323;0.13;0.13;8;12;2016;23;46;1.13;1.13;0.87;0.87;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
161;323;0.53;0.53;324;0.57;0.57;9;12;2016;23;50;1.1;1.1;-0.04;-0.04;0;0;1;0;0.18;0;1;0;0;0;0;0.0144;0;1;0;0;0;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;0
161;324;0.57;0.57;323;0.53;0.53;10;12;2016;0;30;1.1;1.1;0.04;0.04;0;0;1;0;0;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;0;1;0;0;0.054;4
162;325;0.86;0.86;326;0.1;0.1;5;12;2016;11;50;0.96;0.96;0.76;0.76;0;0;1;0;0.18;0;0;1;0;0;0;0.128;1;0;0;0;0.2;0;0;0;1;0;0.0702;0;0;1;0;0;0.28;0
162;326;0.65;0.65;325;0.22;0.22;6;12;2016;12;20;0.87;0.87;0.43;0.43;0;0;0;1;0.0486;0;0;1;0;0;0;0.0448;0;1;0;0;0.2;0;0;0;0;1;0.0576;0;1;0;0;0;0.3;1
162;325;0.97;0.97;326;0.13;0.13;6;12;2016;17;25;1.1;1.1;0.84;0.84;0;0;1;0;0.18;0;0;1;0;0;0;0.128;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;0
162;326;0.45;0.45;325;0.53;0.53;6;12;2016;22;13;0.98;0.98;-0.08;-0.08;0;0;0;1;0.0486;0;0;1;0;0;0;0.0448;0;0;1;0;0.026;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
162;325;0.97;0.97;326;0.13;0.13;7;12;2016;11;11;1.1;1.1;0.84;0.84;0;0;1;0;0.18;0;0;1;0;0;0;0.128;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;1
162;326;0.45;0.45;325;0.53;0.53;7;12;2016;18;19;0.98;0.98;-0.08;-0.08;0;0;0;1;0.0486;0;0;1;0;0;0;0.0448;0;0;1;0;0.026;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
162;325;0.73;0.73;326;0.22;0.22;7;12;2016;20;33;0.95;0.95;0.51;0.51;0;0;1;0;0.18;0;0;1;0;0;0;0.128;0;0;1;0;0.128;1;0;0;0;0;0.18;0;0;0;1;0;0.112;1
162;326;0.4;0.4;325;0.67;0.67;7;12;2016;22;51;1.07;1.07;-0.27;-0.27;0;0;1;0;0;0;0;1;0;0;0;0.0448;0;0;1;0;0.026;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
162;325;0.71;0.71;326;0.38;0.38;8;12;2016;10;45;1.09;1.09;0.33;0.33;0;0;1;0;0.18;1;0;0;0;0;0;0.16;0;0;1;0;0.128;1;0;0;0;0;0.18;0;1;0;0;0;0.0588;1
162;326;0.4;0.4;325;0.67;0.67;8;12;2016;18;16;1.07;1.07;-0.27;-0.27;0;0;1;0;0;0;0;1;0;0;0;0.0448;0;0;1;0;0.026;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
